W01,0.2,0.15,0.15,0.15,0.15,0.2
W02,0,0.2,0.2,0.2,0.2,0.2
W03,0.2,0,0.2,0.2,0.2,0.2
W04,0.2,0.2,0,0.2,0.2,0.2
W05,0.2,0.2,0.2,0,0.2,0.2
W06,0.2,0.2,0.2,0.2,0,0.2
W07,0.2,0.2,0.2,0.2,0.2,0
W08,0,0,0.25,0.25,0.25,0.25
W09,0,0.25,0,0.25,0.25,0.25
W10,0,0.25,0.25,0,0.25,0.25
W11,0,0.25,0.25,0.25,0,0.25
W12,0,0.25,0.25,0.25,0.25,0
W13,0.25,0,0,0.25,0.25,0.25
W14,0.25,0,0.25,0,0.25,0.25
W15,0.25,0,0.25,0.25,0,0.25
W16,0.25,0,0.25,0.25,0.25,0
W17,0.25,0.25,0,0,0.25,0.25
W18,0.25,0.25,0,0.25,0,0.25
W19,0.25,0.25,0,0.25,0.25,0
W20,0.25,0.25,0.25,0,0,0.25
W21,0.25,0.25,0.25,0,0.25,0
W22,0.33,0.33,0.33,0,0,0
W23,0.33,0,0.33,0.33,0,0
W24,0.33,0,0,0.33,0.33,0
W25,0.33,0,0,0,0.33,0.33
W26,0.33,0.33,0,0.33,0,0
W27,0.33,0.33,0,0,0.33,0
W28,0.33,0.33,0,0,0,0.33
W29,0.33,0,0.33,0,0.33,0
W30,0.33,0,0.33,0,0,0.33
W31,0.33,0,0,0.33,0,0.33
W32,0,0.33,0.33,0.33,0,0
W33,0,0.33,0.33,0,0.33,0
W34,0,0.33,0.33,0,0,0.33
W35,0,0.33,0,0.33,0.33,0
W36,0,0.33,0,0.33,0,0.33
W37,0,0.33,0,0,0.33,0.33
W38,0,0,0.33,0.33,0.33,0
W39,0,0,0.33,0.33,0,0.33
W40,0,0,0.33,0,0.33,0.33
W41,0,0,0,0.33,0.33,0.33
W42,0.6,0,0.3,0,0,0.1
W43,0.6,0,0.1,0,0,0.3
W44,0.3,0,0.6,0,0,0.1
W45,0.3,0,0.1,0,0,0.6
W46,0.1,0,0.6,0,0,0.3
W47,0.1,0,0.3,0,0,0.6
